batch,dense_seconds,dense_output_tokens_per_second,dense_ttft_ms,dense_tpot_ms,dense_seconds_min,dense_seconds_max,c1_seconds,c1_output_tokens_per_second,c1_ttft_ms,c1_tpot_ms,c1_seconds_min,c1_seconds_max,e2e_speedup,tpot_speedup
1,1.1059539201669395,115.73719091359511,272.365003824234,6.560536985116915,1.1049753571860492,1.1068664537742734,1.0914671691134572,117.27333961310795,203.67505913600326,6.984594883030559,1.09045903198421,1.0956245241686702,1.0132727318451997,0.9392866866274642
2,1.431501992046833,178.8331426866954,553.5640120506287,6.905621009343487,1.430473844986409,1.4324310407973826,1.3664767141453922,187.3431119242342,415.07705952972174,7.484675748053733,1.3662414229474962,1.3733834200538695,1.0475860856085706,0.9226346259741687
4,2.0696395062841475,247.38607783886488,836.4224066026509,9.643019792095824,2.0693829017691314,2.071461419109255,1.8354696398600936,278.9476812261665,628.824399318546,9.415961670923949,1.8322949227876961,1.8354868250899017,1.127580354007873,1.0241141722011273
8,3.2599400668404996,314.1162042872924,1527.5641205371358,13.518814659791111,3.259461412206292,3.2601699410006404,2.6942486143670976,380.06886021561394,1148.4139652457088,12.045736108378573,2.692582843825221,2.695053858216852,1.2099626031008603,1.1222904551584787
16,5.763423596974462,355.3443479453962,2709.397662401898,23.791536750449747,5.762747146189213,5.763615023344755,4.55412080604583,449.7026072038261,2035.227300657425,19.582107823569416,4.550808945205063,4.598802165128291,1.2655403408102877,1.2149630144418764
32,10.795624515973032,379.41297364868745,4977.560603583697,45.205158434714754,10.791325049009174,10.8264439557679,8.337476769927889,491.2757316186713,3737.8969880082877,35.66830588069719,8.336993467062712,8.341807574033737,1.294831135831327,1.2673761009540594
64,20.879866680130363,392.33966985984864,9490.323915037152,88.00138895160163,20.874055013991892,20.88597208680585,15.82123196683824,517.7852152835296,7099.999990452488,67.19154647451103,15.803556190803647,15.83528102003038,1.319737092781091,1.3097092352976987
128,41.12835120363161,398.36267490716483,18727.250434625603,171.49504663754533,41.11947275092825,41.14974585035816,30.350730712991208,539.8222584798282,13835.36320606072,125.89298482735317,30.297307062894106,30.380939506925642,1.3551025045346665,1.3622287760730258
256,83.66785820014775,391.64382481996097,38444.334851368694,340.94655195146663,83.57640669774264,83.6680264910683,59.108440827112645,554.3709078005242,27620.136092053144,235.60930343322923,59.07000783877447,59.2292821588926,1.4154976350140818,1.4470844189227425
