batch,dense_seconds,dense_output_tokens_per_second,dense_tpot_ms,dense_ttft_ms,dense_preemptions,v64_seconds,v64_output_tokens_per_second,v64_tpot_ms,v64_ttft_ms,v64_preemptions,v96_seconds,v96_output_tokens_per_second,v96_tpot_ms,v96_ttft_ms,v96_preemptions,v64_e2e_speedup,v64_tpot_speedup,v96_e2e_speedup,v96_tpot_speedup
1,4.64936981908977,27.53061274550519,31.194471075808202,686.5095309913158,0,5.114735831040889,25.025730404917315,35.98521479339463,543.7255608849227,0,5.774728344287723,22.16554483062666,40.75149443792546,598.3817190863192,0,0.9090146534789045,0.866869108741132,0.8051235559312255,0.765480419946931
2,5.632915302645415,45.44715946284039,33.47495966774272,1381.0214097611606,0,5.884983459021896,43.50054707588729,37.77602623678803,1087.7362440805882,0,6.56755164405331,38.97951837680623,42.19734868562714,1206.9562335964292,0,0.9571675675672374,0.8861429589738921,0.8576887716971094,0.7932953304041267
4,7.113245021086186,71.97840064306095,34.254175984836,2763.9361161272973,0,7.061910739168525,72.50162440601498,38.51528565113352,2168.807354872115,0,7.865839141886681,65.09159299654746,43.026907109164114,2400.0376297626644,0,1.0072691773959899,0.8893657519538062,0.9043211910102729,0.7961105802452706
8,10.363131485879421,98.81183128818546,48.5059917234361,4158.065122028347,0,9.59722506487742,106.69750819406035,49.374664981031835,3271.368515153881,0,10.673108438029885,95.94205904920206,55.129992655995416,3613.484066678211,0,1.0798049869440862,0.9824064981923533,0.9709572001493052,0.8798475999463251
16,16.789584802929312,121.98038391292924,74.16984079887827,7284.745921584545,0,14.568978840019554,140.572652516616,68.84569335980048,5727.440128830494,0,16.171396041288972,126.64336429403038,76.54525118230981,6338.742500520311,0,1.1524201515627144,1.0773345024103802,1.0382272971400845,0.9689672403350802
32,29.704490181989968,137.89161082735674,129.9713476776195,13012.748079185258,0,24.601680589839816,166.4926908160736,111.49427319331897,10254.181630079984,0,27.16963935503736,150.7565097377925,123.12781040345439,11323.359269081266,0,1.2074171141892456,1.1657221842440577,1.0932971834417313,1.0555807599578098
64,53.73035685485229,152.4650212566045,229.32602377016258,24171.89735823922,0,43.38288036407903,188.83024666068428,188.84822055572548,18973.260416409175,0,47.81583145307377,171.32401029227296,208.0930710330653,20922.559735525283,0,1.2385152024009212,1.2143404004301586,1.1236938733896744,1.1020358469010407
128,102.08144790818915,160.49929086757837,428.505684622755,46594.81475350185,0,80.78681817278266,202.80536318386436,340.3830505318527,36561.76831564517,0,89.08346434636042,183.91740959128273,375.01175688507146,40361.57763387382,0,1.263590400229189,1.2588925446000017,1.1459079264283212,1.1426460017734261
