prefill_tokens,batch,dense_seconds,dense_seconds_min,dense_seconds_max,dense_output_tokens_per_second,dense_ttft_ms,dense_tpot_ms,dense_preemptions_total,c1_seconds,c1_seconds_min,c1_seconds_max,c1_output_tokens_per_second,c1_ttft_ms,c1_tpot_ms,c1_preemptions_total,e2e_speedup,ttft_speedup,tpot_speedup
512,32,2.620336488354951,2.615887103136629,2.6206229072995484,1563.1580211942442,823.0645453295438,14.067622152222212,0,2.1838368359021842,2.1836727601476014,2.1893930970691144,1875.5979992011926,605.6268543325132,12.352904995218632,0,1.1998774108379946,1.3590291438392008,1.138810843090535
1024,32,3.7813483448699117,3.7789665018208325,3.7821961669251323,1083.2114966495935,1408.880488059367,18.5082827960086,0,3.031162773258984,3.0259807519614697,3.0340098831802607,1351.296616643304,1036.3935451459838,15.552788628535675,0,1.2474910216729662,1.3594068533695043,1.1900298549708503
2048,32,6.084431015886366,6.083997474052012,6.084591676015407,673.1935967891492,2588.214076444274,27.226368439022643,0,4.756378196179867,4.756285246927291,4.76096362201497,861.159443395343,1916.1086341628106,22.095167184868227,0,1.2792151433149572,1.3507658335745252,1.2322318365469755
4096,32,10.785898451227695,10.781234207563102,10.788913141936064,379.7551051052012,4976.899511544616,45.13308768803217,0,8.330804461147636,8.327957462053746,8.334982265718281,491.66920422901666,3731.486552351271,35.645294332841054,0,1.2947007100610604,1.3337578580870377,1.2661723947794628
8192,32,20.3822845951654,20.37087159184739,20.38583674142137,200.95882681235622,9872.871200059308,81.41331748423207,0,15.79805317800492,15.77078370610252,15.801177761983126,259.27245299457013,7558.364182492369,63.61976176693735,0,1.2901769835502863,1.3062179807276408,1.2796859847177529
16384,32,40.39295539306477,40.31778544699773,40.39897423563525,101.40382054597715,19832.13841597899,158.58618616377183,0,31.89241086365655,31.886542776599526,31.896091078873724,128.43180835437107,15641.200977144763,124.9797413469151,0,1.2665381606222543,1.2679421768800303,1.2688951381614155
32640,32,83.38809611601755,83.20903001027182,83.53349025221542,49.119720808846026,40924.135075794766,325.60076675122036,0,69.35474249301478,69.03656203160062,69.52128540724516,59.05868658387042,34359.921426381334,267.64520142797113,0,1.2023416585306501,1.1910427433158641,1.216538779750349
