layer,fit_local_c1,fit_local_raw,fit_all_c1,fit_all_raw,heldout_local_c1,heldout_local_raw,heldout_all_c1,heldout_all_raw
0,0.7759929986756872,0.8083749824684615,0.8957249773953847,0.9199430881535289,0.7720910933005962,0.8060215757375435,0.8933787305219294,0.9177550556349866
1,0.5264612507171447,0.6115073476091026,0.8776047924602345,0.9229429062805542,0.5203055262741199,0.6053226038900988,0.872800656549571,0.9194682307181886
2,0.4212302855236749,0.4859177892852586,0.759611953156614,0.8354704620323076,0.41547596989557545,0.4801548528973897,0.7531552828769641,0.8295301089079772
3,0.4481158317544802,0.5181273800777728,0.8166057859497128,0.8742667253353702,0.44320298354803667,0.5129880859444946,0.8116858945755842,0.8697810316119432
4,0.4315242548023548,0.4949957506499389,0.7484289504807372,0.8168571097451176,0.4247118289124704,0.48856404896267625,0.7406005102340294,0.8097531125908166
5,0.46469775153386284,0.5336882580429375,0.7813792075641457,0.8386467542955099,0.46102309009682296,0.5300551792999854,0.7755689658376735,0.8331425432244037
6,0.43363378604142966,0.514301289104589,0.7730989818887235,0.8377217241964104,0.4304198985531442,0.511410790854084,0.7677406903130107,0.83260631741162
7,0.408558537593482,0.4802613246113883,0.7703246918102312,0.8332586809450521,0.4057938437197557,0.4774030968070573,0.7663657623360878,0.8295652183578797
8,0.41249057301008124,0.4741693820829017,0.7620644579013698,0.8216092553145701,0.409485048702663,0.4710371030296445,0.7575786050936095,0.8175308053328204
9,0.35245514448168536,0.410425814537418,0.6914520207291386,0.761207509894239,0.3496494279439363,0.40811071930276543,0.6874965594034921,0.7571424340286222
10,0.4101142188495791,0.4766443408960993,0.7476584709104783,0.8093871255434721,0.40517263962551464,0.47235276089390177,0.7402207389918692,0.8026638443118623
11,0.44460270208473196,0.5043864022830276,0.771017665119091,0.8220656589463796,0.44026433754192507,0.5000757658704648,0.7642476905219483,0.8150754731973078
12,0.49927663858935023,0.5614553179446139,0.8157099662926498,0.8614987521378471,0.494611150685224,0.5576041828296844,0.8106273889412017,0.8563975428159236
13,0.5010197664114887,0.5624109871889682,0.749172769727328,0.8056346118997636,0.4990897704010405,0.5603791575105412,0.7443606727924397,0.8000744288595714
14,0.5801374373478243,0.6400085366373053,0.8321352862515591,0.8775482638279145,0.5777049245812097,0.6380285910193709,0.8284364461035696,0.8737267597038454
15,0.5512307827328529,0.6039662687419634,0.7956973840618018,0.8401924482746678,0.5495406933426559,0.6021956473949235,0.7921586531387104,0.8362039115573436
16,0.41717195707819377,0.47671198317025293,0.7704520652602572,0.8268636100924847,0.414103656630729,0.4741285422162469,0.7658967588020031,0.8222370835345939
17,0.5734452097698146,0.6256411881316775,0.8129137632209731,0.8560581681994366,0.57040617662187,0.6230902511186998,0.8092126688719761,0.8520772707395519
18,0.5325191762983441,0.5823911029599877,0.8593247240492726,0.8962383837119694,0.5314029395823942,0.5815052154850046,0.8569627068111915,0.8937494437168101
19,0.4741053747085937,0.5307022556018252,0.7748218985603875,0.8231410373555539,0.47124835570460233,0.5277240807547097,0.7702434532353848,0.8185115035105784
20,0.5473067752724027,0.6023129819376499,0.8097504176858468,0.8592776416570758,0.5455159256932127,0.6006397516730076,0.8056507914670492,0.8551382429045251
21,0.5466743951401927,0.5978942488456935,0.8361597662808236,0.8777558679937861,0.5439660939526838,0.595020469676611,0.832628500973817,0.8742362629384788
22,0.4191900690140674,0.4804931757670101,0.7274008051046162,0.7868530419650789,0.41468427898627347,0.4760787583367323,0.7211358002727922,0.7806205558873305
23,0.42333305384557784,0.4929233653149201,0.7238375043056311,0.7911259111258514,0.4187931437188809,0.48833010819503386,0.7172264396493804,0.7845604981296388
24,0.3370494887713209,0.4079005586727492,0.7160977586485001,0.786127148561745,0.33154509516495256,0.40285432538103527,0.7069993978833802,0.7777925670850546
25,0.3991700641952992,0.4507236365811942,0.6939171564748985,0.7565070784666765,0.3945034782861584,0.4457287229441089,0.684094421043413,0.7462088306469823
26,0.2724873581280809,0.3256527469987048,0.633244129347617,0.7104818659855772,0.26707265368273425,0.32000692198410774,0.6210884566719417,0.6977549124259611
27,0.3350306658483999,0.3898901622023661,0.6622799521644407,0.7331463609317578,0.32946645100115135,0.3840887747810363,0.6498511259755809,0.7203543761540896
28,0.42735805199576476,0.48394746504632113,0.7797832216417518,0.8290424369839762,0.4232430993686582,0.4794851946460452,0.7732429370695132,0.8222253669876707
29,0.20595112198652754,0.2731181733582659,0.6077762160905742,0.7062738719365579,0.20001485725354007,0.266601590184818,0.5938042925087359,0.6917710220363253
30,0.24740538223146036,0.2973862738200873,0.5828721508843818,0.6673202809597686,0.24016892964273473,0.2888639022587428,0.5677472708534612,0.6516729568957562
31,0.26069484210826666,0.3323598388709883,0.6519048396802897,0.7542014394294205,0.25370699511540107,0.3248113688636981,0.6372948976959378,0.7403617131337801
32,0.2657916268501644,0.323083141857147,0.5981109072505799,0.6776591277636663,0.259272306560115,0.31570369597660874,0.5832442351733309,0.6612841619853529
33,0.19723169347536845,0.2577912067801209,0.573088986475715,0.6662657440777288,0.19100493103703797,0.250460214117706,0.5552163798999536,0.6465630025235638
34,0.23309455667184048,0.2800669455598624,0.5951419088844504,0.6802806735331259,0.22531138992990574,0.27076528130612765,0.5779927634184217,0.6609964190204841
35,0.2514246123151699,0.2970729317214551,0.6269135321434722,0.6981629375390067,0.24142913846454805,0.28489108098978355,0.6063613930714487,0.6766567199724596
