figure,context_tokens,batch,plotted_method,newly_rerun,repeat_index,input_metric,source_file,metric_field,value
1,32768,1,full_model_speedup,True,2,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t32768_c2_n128/result.json,measurement.cuda_median_ms,28.94534397125244
1,49152,1,attention_speedup,True,0,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t49152_c0_n128/result.json,mean(attention_profile.components[*].attention_block),9.610527009703219
1,49152,1,attention_speedup,True,1,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t49152_c1_n128/result.json,mean(attention_profile.components[*].attention_block),9.610909007489681
1,49152,1,attention_speedup,True,2,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t49152_c2_n128/result.json,mean(attention_profile.components[*].attention_block),9.610934003256261
1,49152,1,attention_speedup,True,0,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t49152_c0_n128/result.json,mean(attention_profile.components[*].attention_block),7.314844994340092
1,49152,1,attention_speedup,True,1,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t49152_c1_n128/result.json,mean(attention_profile.components[*].attention_block),7.3036279999651015
1,49152,1,attention_speedup,True,2,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t49152_c2_n128/result.json,mean(attention_profile.components[*].attention_block),7.314571002032608
1,49152,1,full_model_speedup,True,0,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t49152_c0_n128/result.json,measurement.cuda_median_ms,33.02110481262207
1,49152,1,full_model_speedup,True,1,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t49152_c1_n128/result.json,measurement.cuda_median_ms,33.03873634338379
1,49152,1,full_model_speedup,True,2,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t49152_c2_n128/result.json,measurement.cuda_median_ms,33.00276756286621
1,49152,1,full_model_speedup,True,0,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t49152_c0_n128/result.json,measurement.cuda_median_ms,30.431504249572754
1,49152,1,full_model_speedup,True,1,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t49152_c1_n128/result.json,measurement.cuda_median_ms,30.373680114746094
1,49152,1,full_model_speedup,True,2,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t49152_c2_n128/result.json,measurement.cuda_median_ms,30.44870376586914
1,65536,1,attention_speedup,True,0,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t65536_c0_n128/result.json,mean(attention_profile.components[*].attention_block),12.582172995433211
1,65536,1,attention_speedup,True,1,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t65536_c1_n128/result.json,mean(attention_profile.components[*].attention_block),12.583613007329404
1,65536,1,attention_speedup,True,2,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t65536_c2_n128/result.json,mean(attention_profile.components[*].attention_block),12.583655992522836
1,65536,1,attention_speedup,True,0,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t65536_c0_n128/result.json,mean(attention_profile.components[*].attention_block),8.70026001892984
1,65536,1,attention_speedup,True,1,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t65536_c1_n128/result.json,mean(attention_profile.components[*].attention_block),8.69974298402667
1,65536,1,attention_speedup,True,2,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t65536_c2_n128/result.json,mean(attention_profile.components[*].attention_block),8.691882003098726
1,65536,1,full_model_speedup,True,0,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t65536_c0_n128/result.json,measurement.cuda_median_ms,36.00846481323242
1,65536,1,full_model_speedup,True,1,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t65536_c1_n128/result.json,measurement.cuda_median_ms,36.01176071166992
1,65536,1,full_model_speedup,True,2,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t65536_c2_n128/result.json,measurement.cuda_median_ms,35.988481521606445
1,65536,1,full_model_speedup,True,0,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t65536_c0_n128/result.json,measurement.cuda_median_ms,31.928512573242188
1,65536,1,full_model_speedup,True,1,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t65536_c1_n128/result.json,measurement.cuda_median_ms,31.88864040374756
1,65536,1,full_model_speedup,True,2,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t65536_c2_n128/result.json,measurement.cuda_median_ms,31.948416709899902
1,98304,1,attention_speedup,True,0,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t98304_c0_n128/result.json,mean(attention_profile.components[*].attention_block),18.3338690251112
1,98304,1,attention_speedup,True,1,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t98304_c1_n128/result.json,mean(attention_profile.components[*].attention_block),18.3322459962219
1,98304,1,attention_speedup,True,2,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t98304_c2_n128/result.json,mean(attention_profile.components[*].attention_block),18.334877017885447
1,98304,1,attention_speedup,True,0,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t98304_c0_n128/result.json,mean(attention_profile.components[*].attention_block),11.793618995696306
1,98304,1,attention_speedup,True,1,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t98304_c1_n128/result.json,mean(attention_profile.components[*].attention_block),11.762372003868222
1,98304,1,attention_speedup,True,2,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t98304_c2_n128/result.json,mean(attention_profile.components[*].attention_block),11.768535991199315
1,98304,1,full_model_speedup,True,0,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t98304_c0_n128/result.json,measurement.cuda_median_ms,41.765968322753906
1,98304,1,full_model_speedup,True,1,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t98304_c1_n128/result.json,measurement.cuda_median_ms,41.776737213134766
1,98304,1,full_model_speedup,True,2,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t98304_c2_n128/result.json,measurement.cuda_median_ms,41.78579330444336
1,98304,1,full_model_speedup,True,0,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t98304_c0_n128/result.json,measurement.cuda_median_ms,34.9748477935791
1,98304,1,full_model_speedup,True,1,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t98304_c1_n128/result.json,measurement.cuda_median_ms,34.99403190612793
1,98304,1,full_model_speedup,True,2,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t98304_c2_n128/result.json,measurement.cuda_median_ms,34.97920036315918
1,130048,1,attention_speedup,True,0,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t130048_c0_n128/result.json,mean(attention_profile.components[*].attention_block),23.851289996877313
1,130048,1,attention_speedup,True,1,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t130048_c1_n128/result.json,mean(attention_profile.components[*].attention_block),23.846821021288633
1,130048,1,attention_speedup,True,2,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t130048_c2_n128/result.json,mean(attention_profile.components[*].attention_block),23.849198013544083
1,130048,1,attention_speedup,True,0,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t130048_c0_n128/result.json,mean(attention_profile.components[*].attention_block),14.688149005174637
1,130048,1,attention_speedup,True,1,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t130048_c1_n128/result.json,mean(attention_profile.components[*].attention_block),14.501413997262716
1,130048,1,attention_speedup,True,2,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t130048_c2_n128/result.json,mean(attention_profile.components[*].attention_block),14.67408100143075
1,130048,1,full_model_speedup,True,0,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t130048_c0_n128/result.json,measurement.cuda_median_ms,47.313472747802734
1,130048,1,full_model_speedup,True,1,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t130048_c1_n128/result.json,measurement.cuda_median_ms,47.30188751220703
1,130048,1,full_model_speedup,True,2,dense,results/system_benchmarks/tp1_paper_scaling/formal/steady_dense_t130048_c2_n128/result.json,measurement.cuda_median_ms,47.35183906555176
1,130048,1,full_model_speedup,True,0,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t130048_c0_n128/result.json,measurement.cuda_median_ms,37.86956787109375
1,130048,1,full_model_speedup,True,1,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t130048_c1_n128/result.json,measurement.cuda_median_ms,37.671905517578125
1,130048,1,full_model_speedup,True,2,basis,results/system_benchmarks/tp1_paper_scaling/formal/steady_basis_t130048_c2_n128/result.json,measurement.cuda_median_ms,37.86568069458008
2,65536,1,dense_local,False,0,primary,results/system_benchmarks/tp1_capacity/formal/dense_local_t65536_b1_r0/result.json,aggregate_tokens_per_second,27.64477008379277
