context_tokens,method,active_batch,status,throughput_tok_s,mean_decode_ms,throughput_interval_mean_ms,gpu_peak_through_prefill_gib,gpu_decode_resident_gib,repeats,attempted_repeats,oom_phase,origin
65536,dense_local,1,complete,27.656505411188412,36.15538016674691,36.15785816509742,26.763070106506348,22.981088638305664,3,3,,archive_same_version
65536,dense_local,2,complete,41.115377986649584,48.640439003065694,48.643599984643515,34.778695583343506,30.996713638305664,3,3,,archive_same_version
65536,dense_local,4,gpu_oom,,,,,,0,1,cache_allocation,archive_same_version
65536,dense_k_offload,1,complete,5.078778384783307,196.89314140487113,196.89774277139804,22.880501747131348,19.098520278930664,3,3,,archive_same_version
65536,dense_k_offload,2,complete,5.418160165272926,369.1243657412997,369.1289919443079,27.013558864593506,23.231576919555664,3,3,,archive_same_version
65536,dense_k_offload,4,complete,5.617598328989352,712.041138598579,712.0480614212283,35.31189966201782,31.529916763305664,3,3,,archive_same_version
65536,dense_k_offload,8,gpu_oom,,,,,,0,1,cache_allocation,archive_same_version
65536,basis_k_offload,1,complete,29.361772818413154,34.05553751872503,34.057889017276466,24.031655311584473,20.24967384338379,3,3,,archive_same_version
65536,basis_k_offload,2,complete,46.0987413300075,43.38205092790304,43.38513248512754,29.29274892807007,25.510766983032227,3,3,,archive_same_version
65536,basis_k_offload,4,complete,68.18249168171484,58.66334345773794,58.66608716314659,39.82804346084595,36.04606056213379,3,3,,archive_same_version
65536,basis_k_offload,8,gpu_oom,,,,,,0,1,cache_allocation,archive_same_version
