context_tokens,context_label,method,request_seconds,request_tail_ms,separate_nonadditive_build_profile_s,shadow_over_basis,output_tokens,actual_decode_calls,cohorts,origin
32768,32K,dense,8.432535252068192,29.924356152076978,0.0,2.303279312380881,128,127,3,archive
32768,32K,basis,8.306144719012082,28.821501272587895,0.0,2.303279312380881,128,127,3,archive
32768,32K,shadowkv,19.131371296942234,29.252214323695714,11.670887409243733,2.303279312380881,128,127,3,archive
65536,64K,dense,16.70936464285478,35.86873713343799,0.0,1.7993654188346526,128,127,3,archive
65536,64K,basis,16.399364752694964,31.607416907308608,0.0,1.7993654188346526,128,127,3,archive
65536,64K,shadowkv,29.508449826855212,30.813975062489778,14.698843052610755,1.7993654188346526,128,127,3,archive
130048,128K,dense,43.41812606807798,47.17920572908075,0.0,1.3708164122462665,128,127,3,archive
130048,128K,basis,42.8976560048759,37.52226667763951,0.0,1.3708164122462665,128,127,3,archive
130048,128K,shadowkv,58.80481089837849,32.593705200565026,20.34509773598984,1.3708164122462665,128,127,3,archive
