context_tokens,context_label,dense_attention_ms,basis_attention_ms,attention_speedup,dense_full_model_ms,basis_full_model_ms,full_model_speedup,repeats,origin
16384,16K,3.8140599944163114,4.40136800147593,0.8665623944958308,27.123615264892578,27.597439765930176,0.9828308529683776,3,archive
32768,32K,6.705228005535901,5.839659000746906,1.1482225254382639,30.05019187927246,28.988064765930176,1.0366401524875373,3,archive
65536,64K,12.582821004092693,8.693937001749873,1.447309889818627,35.99380874633789,31.853456497192383,1.129981254923165,3,archive
130048,128K,23.857334028929472,14.649469008669257,1.6285459913128038,47.37028884887695,37.817359924316406,1.2526069758354035,3,archive
