context_tokens,metric,archive_ms,new_ms,percent_change
16384,dense_attention_ms,3.8140599944163114,3.8086180044338107,-0.14268233825549537
16384,basis_attention_ms,4.40136800147593,4.394830995704979,-0.14852213604404918
16384,dense_full_model_ms,27.123615264892578,27.084735870361328,-0.14334149099060056
16384,basis_full_model_ms,27.597439765930176,27.61888027191162,0.07769019939274369
32768,dense_attention_ms,6.705228005535901,6.7036259872838855,-0.023892077207399165
32768,basis_attention_ms,5.839659000746906,5.845434997230768,0.09890982475386778
32768,dense_full_model_ms,30.05019187927246,30.105520248413086,0.18411985308748324
32768,basis_full_model_ms,28.988064765930176,29.000096321105957,0.041505203168723526
65536,dense_attention_ms,12.582821004092693,12.583613007329404,0.006294321730027086
65536,basis_attention_ms,8.693937001749873,8.69974298402667,0.06678196857912155
65536,dense_full_model_ms,35.99380874633789,36.00846481323242,0.04071829963263607
65536,basis_full_model_ms,31.853456497192383,31.928512573242188,0.23562929836646873
130048,dense_attention_ms,23.857334028929472,23.849198013544083,-0.034102785229583876
130048,basis_attention_ms,14.649469008669257,14.67408100143075,0.16800603999318486
130048,dense_full_model_ms,47.37028884887695,47.313472747802734,-0.1199403728684767
130048,basis_full_model_ms,37.817359924316406,37.86568069458008,0.12777404440811324
