method,allgather_source_rank,method_rank,retained_ratio,ring_bytes_per_row_per_rank,ppl,mcq_average,dense_ppl,dense_mcq_average,arc_easy,arc_challenge,hellaswag,piqa,winogrande,boolq,openbookqa
c1_allgather,128,128,0.125,768.0,44.180626080788095,0.4068332834263431,7.002025537618722,0.7042957887415177,0.30387205387205385,0.25597269624573377,0.3670583549093806,0.5614798694232862,0.5627466456195738,0.5107033639143731,0.286
lr_allreduce,128,256,0.125,768.0,107.06951366439564,0.3836326611823432,7.002025537618722,0.7042957887415177,0.289983164983165,0.24744027303754265,0.3031268671579367,0.5408052230685527,0.5430149960536701,0.5030581039755352,0.258
c1_allgather,192,192,0.1875,1152.0,13.688772466334765,0.5237439356714413,7.002025537618722,0.7042957887415177,0.4537037037037037,0.27047781569965873,0.6259709221270663,0.661588683351469,0.6361483820047356,0.6483180428134556,0.37
lr_allreduce,192,384,0.1875,1152.0,31.726788658632845,0.42135564229073097,7.002025537618722,0.7042957887415177,0.33880471380471383,0.24488054607508533,0.40440151364270066,0.5897714907508161,0.5737963693764798,0.501834862385321,0.296
c1_allgather,256,256,0.25,1536.0,9.404408614520213,0.6008956973937201,7.002025537618722,0.7042957887415177,0.5740740740740741,0.3438566552901024,0.7188807010555667,0.7072905331882481,0.6921862667719021,0.7779816513761468,0.392
lr_allreduce,256,512,0.25,1536.0,14.430707722689109,0.5025589014218831,7.002025537618722,0.7042957887415177,0.38552188552188554,0.25853242320819114,0.6387173869747063,0.6196953210010882,0.6369376479873717,0.6425076452599389,0.336
c1_allgather,384,384,0.375,2304.0,7.678032486033939,0.7097353454377479,7.002025537618722,0.7042957887415177,0.8354377104377104,0.5998293515358362,0.7656841266679945,0.8019586507072906,0.7253354380426204,0.8159021406727829,0.424
lr_allreduce,384,768,0.375,2304.0,8.396637394132885,0.5804157633962863,7.002025537618722,0.7042957887415177,0.4642255892255892,0.3097269624573379,0.7455686118303126,0.6501632208922742,0.7095501183898973,0.7776758409785933,0.406
c1_allgather,512,512,0.5,3072.0,7.2819491932305676,0.7117693102710568,7.002025537618722,0.7042957887415177,0.8278619528619529,0.6023890784982935,0.7774347739494125,0.7992383025027203,0.7348066298342542,0.8186544342507646,0.422
lr_allreduce,512,1024,0.5,3072.0,7.546591201243233,0.7079069513260465,7.002025537618722,0.7042957887415177,0.8320707070707071,0.5938566552901023,0.7681736705835491,0.7997823721436343,0.7292817679558011,0.8201834862385321,0.412
c1_allgather,640,640,0.625,3840.0,7.120592463114178,0.7072831072114992,7.002025537618722,0.7042957887415177,0.8127104377104377,0.5733788395904437,0.7818163712407887,0.8008705114254625,0.7300710339384373,0.8281345565749235,0.424
lr_allreduce,640,1280,0.625,3840.0,7.227802020137833,0.7093870496136828,7.002025537618722,0.7042957887415177,0.8211279461279462,0.5955631399317406,0.7728540131447919,0.8035908596300326,0.7324388318863457,0.8281345565749235,0.412
c1_allgather,768,768,0.75,4608.0,7.048182631919855,0.7039843652126889,7.002025537618722,0.7042957887415177,0.8009259259259259,0.5648464163822525,0.7844054969129656,0.7959738846572362,0.7245461720599842,0.8311926605504587,0.426
lr_allreduce,768,1536,0.75,4608.0,7.115326886640616,0.7072784193030005,7.002025537618722,0.7042957887415177,0.8194444444444444,0.5853242320819113,0.7773351921927902,0.8019586507072906,0.7355958958168903,0.8152905198776759,0.416
c1_allgather,896,896,0.875,5376.0,7.00946825922963,0.7058980537992635,7.002025537618722,0.7042957887415177,0.8047138047138047,0.5767918088737202,0.7870942043417646,0.7932535364526659,0.7245461720599842,0.8308868501529052,0.424
lr_allreduce,896,1792,0.875,5376.0,7.074949755306368,0.7057718029494623,7.002025537618722,0.7042957887415177,0.8131313131313131,0.5691126279863481,0.7806213901613225,0.7997823721436343,0.7355958958168903,0.8241590214067278,0.418
c1_allgather,1024,1024,1.0,6144.0,7.002025537618722,0.7042957887415177,7.002025537618722,0.7042957887415177,0.8017676767676768,0.5691126279863481,0.7864967138020315,0.79379760609358,0.7277032359905288,0.8311926605504587,0.42
lr_allreduce,1024,2048,1.0,6144.0,7.039705355607559,0.7094098413106782,7.002025537618722,0.7042957887415177,0.8202861952861953,0.5776450511945392,0.7831109340768772,0.7997823721436343,0.7324388318863457,0.826605504587156,0.426
