batch,dense_seconds,dense_output_tokens_per_second,dense_ttft_ms,dense_tpot_ms,dense_seconds_min,dense_seconds_max,dense_preemptions_total,c1_seconds,c1_output_tokens_per_second,c1_ttft_ms,c1_tpot_ms,c1_seconds_min,c1_seconds_max,c1_preemptions_total,e2e_speedup,tpot_speedup
1,3.120252912864089,41.02231568225937,687.0079729706049,19.153973685328182,3.1186223048716784,3.1237265137024224,0,3.199145718012005,40.010681376383516,575.2883809618652,20.652192032448653,3.194079509936273,3.201384639367461,0,0.9753394149245127,0.9274547542088281
2,3.9439833401702344,64.9089962912851,1393.818762153387,20.074195100185204,3.9439001749269664,3.944069177377969,0,3.8910735780373216,65.79161120081615,1171.835872111842,21.404769421943765,3.8881181478500366,3.893042325042188,0,1.013597728511626,0.9378374839957639
4,5.487119989003986,93.30942298073155,2101.72705585137,26.45649963909188,5.485028082039207,5.490548523142934,0,5.194666893221438,98.56262403814821,1771.085789310746,26.757739834472773,5.194180515129119,5.196104742586613,0,1.0562987197820466,0.9887419416869883
8,8.448476388119161,121.20528636855995,3851.6045130672865,35.85234883710683,8.442286556120962,8.450193234253675,0,7.687869374174625,133.19685210051287,3243.1362309725955,34.62573170467595,7.681568957865238,7.687878948170692,0,1.0989359960380696,1.0354250169467245
16,14.596840785816312,140.30433229017837,6845.512428408256,60.33069301968602,14.592569302767515,14.633060617838055,0,12.836842725984752,159.54078769340782,5756.007447635056,55.02337498423519,12.835793676786125,12.841893442440778,0,1.1371052132833968,1.096455697909687
32,26.891587449237704,152.31529219804796,12571.982400026172,111.17796471853939,26.89089144114405,26.896610961295664,0,23.03214734327048,177.8383899231509,10508.687442488736,96.99408967778047,23.014063043985516,23.050596153363585,0,1.1675675328247181,1.1462344261168749
64,51.77026059711352,158.23756545773983,23884.690015525848,215.50483298538379,51.724101992789656,51.82591496920213,0,43.65196660719812,187.6662298795298,20080.71943763207,181.68755615109214,43.61971462704241,43.687317894771695,0,1.1859777375660485,1.186128745141847
128,102.88096046401188,159.25201248224332,47492.9106123127,425.03724244759394,102.62664976529777,102.89694989891723,0,83.7018945873715,195.74228374123246,39152.940859996306,340.8247380418653,83.26786090806127,83.74208397371694,0,1.2291353854197467,1.2470844836250834
256,215.3111608219333,152.18904526319378,99258.41203698837,846.518338486773,215.19340935582295,215.56954814773053,3,164.76837652921677,198.87311321653746,78183.01429596795,653.6566679002335,164.18502820609137,164.820130223874,0,1.3067505146156142,1.2950504141663184
