arm,batch,repeats,wall_s,throughput_tokens_s,ttft_ms,tpot_ms,preemptions_max,peak_allocated_gib,request_speedup
dense,128,3,41.12835120363161,398.36267490716483,18553.16777457483,173.58308662037095,,35.48984479904175,1.0
r64,128,3,30.422955248039216,538.5407126434885,13465.18265735358,129.3414664953419,0,35.272353172302246,1.3518854716220365
r96,128,3,32.60988277802244,502.4243758104541,14508.459562901407,138.1692513786843,0,35.29747247695923,1.2612235218260346
