model,method,rank,calibration_context,num_calibration_sequences,calibration_tokens,evaluation_context_length,evaluation_documents,overall_ppl,overall_nll,ppl_0_8k,ppl_8_32k,ppl_32_64k,ppl_64_128k,nll_0_8k,nll_8_32k,nll_32_64k,nll_64_128k,delta_nll_0_8k,delta_nll_8_32k,delta_nll_32_64k,delta_nll_64_128k,delta_nll_se_0_8k,delta_nll_se_8_32k,delta_nll_se_32_64k,delta_nll_se_64_128k,seed,yarn_factor,checkpoint_path,evaluation_path
Qwen3-8B-Base,Dense,128,,0,0,131072,8,10.862161535007886,2.385285331073412,7.854094507241376,10.10929126604703,10.885740359675971,11.607644483822252,2.061034989090982,2.3134549283047776,2.3874537088802428,2.4516638882884663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260828,4.0,/deac/csc/yangGrp/zhangal/.cache/huggingface/hub/models--Qwen--Qwen3-8B-Base/snapshots/49e3418fbbbca6ecbdf9608b4d22e5a407081db4,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/long_context/evaluation/dense/results.json
Qwen3-8B-Base,Joint C1,64,2048,512,1048576,131072,8,14.421311845801409,2.6687071017689434,8.67572994225054,12.083923386889541,14.038120477108027,16.643146908944114,2.160529465491992,2.4918759234587746,2.6417765204845405,2.811998534636719,0.09949447640101017,0.178420995153997,0.2543228116042977,0.36033464634825263,0.007898361294686681,0.013609805875157354,0.00785528715435035,0.011371133925351077,20260828,4.0,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/long_context/calibration/2k/c1/r64,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/long_context/evaluation/c1_cal_2k_r64/results.json
Qwen3-8B-Base,Joint C1,96,2048,512,1048576,131072,8,11.753225280756563,2.464127694903419,8.021120983463264,10.510154060087533,11.605901545999506,12.937172212020108,2.082078185610178,2.3523418432103065,2.451513722706372,2.560104734435642,0.021043196519196172,0.03888691490552887,0.06406001382612914,0.10844084614717575,0.002117293048187123,0.0045181368962392806,0.003456910447198991,0.002796272844223911,20260828,4.0,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/long_context/calibration/2k/c1/r96,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/long_context/evaluation/c1_cal_2k_r96/results.json
Qwen3-8B-Base,Joint C1,64,8192,128,1048576,131072,8,13.515158144452355,2.60381188106227,8.66271267500108,11.801919923675872,13.198903698355794,15.211827731269413,2.159027915441321,2.468262223632792,2.580133772988357,2.72207326547319,0.09799292635033918,0.1548072953280144,0.1926800641081141,0.2704093771847238,0.00805186913331462,0.01200973643821992,0.0060178216739020665,0.006344819310837627,20260828,4.0,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/long_context/calibration/8k/c1/r64,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/long_context/evaluation/c1_cal_8k_r64/results.json
Qwen3-8B-Base,Joint C1,96,8192,128,1048576,131072,8,11.444582178873597,2.4375164458682033,8.01350435567579,10.424562956104971,11.319515256329158,12.46046075951823,2.0811281629935916,2.344164844130303,2.4265282499791043,2.5225604917701583,0.020093173902609784,0.030709915825525513,0.03907454109886155,0.07089660348169202,0.002256118344471293,0.003436490636188546,0.004380107149596539,0.002263377249259337,20260828,4.0,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/long_context/calibration/8k/c1/r96,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/long_context/evaluation/c1_cal_8k_r96/results.json
Qwen3-8B-Base,Joint C1,64,32768,32,1048576,131072,8,12.924279394826558,2.5591076660221854,8.66283283639322,11.725378384922568,12.668968381920964,14.233422201592111,2.1590417864495457,2.461755585446812,2.5391555689124026,2.6555928752185545,0.09800679735856388,0.14830065714203444,0.1517018600321598,0.2039289869300882,0.008140595526464444,0.008714349846860866,0.008363655317024087,0.005560179356606023,20260828,4.0,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/long_context/calibration/32k/c1/r64,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/long_context/evaluation/c1_cal_32k_r64/results.json
Qwen3-8B-Base,Joint C1,96,32768,32,1048576,131072,8,11.423398605348504,2.435663761122291,8.01930873475045,10.480001844987415,11.377498007111887,12.356978964989901,2.0818522254891136,2.349468854941298,2.4316375457481865,2.5142210018457725,0.020817236398131822,0.03601392663652048,0.04418383686794369,0.0625571135573062,0.00236769373097733,0.0030196244849692946,0.0036981376736347185,0.0026140794396945035,20260828,4.0,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/long_context/calibration/32k/c1/r96,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/long_context/evaluation/c1_cal_32k_r96/results.json
Qwen3-8B-Base,Joint C1,64,131072,8,1048576,131072,8,12.782741264880052,2.5480959224177977,8.66099939030578,11.744129524433365,12.616194559193092,13.944482939865498,2.1588301189535444,2.4633535007991956,2.534981271164613,2.6350839418596133,0.09779512986256256,0.14989857249441796,0.14752756228437036,0.183420053571147,0.007507121010777372,0.008533783637352788,0.006691565026704217,0.006355403944767263,20260828,4.0,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/long_context/calibration/128k/c1/r64,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/long_context/evaluation/c1_cal_128k_r64/results.json
Qwen3-8B-Base,Joint C1,96,131072,8,1048576,131072,8,11.380152520375498,2.4318708311018256,8.025501619950143,10.512461493385482,11.394792365364024,12.238902156604848,2.082624174221485,2.3525613623563753,2.433156440975163,2.5046195799736752,0.021589185130503008,0.03910643405159764,0.04570273209492015,0.05295569168520897,0.0020805535837002567,0.0031689027985811772,0.0030067327590716773,0.002405452565916327,20260828,4.0,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/long_context/calibration/128k/c1/r96,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/long_context/evaluation/c1_cal_128k_r96/results.json
