initialization,sweeps,rank,heldout_rel_mse,ppl,mcq_average,mean_cg_iters,max_cg_iters,cg_cap_hit_fraction,cg_converged_count,cg_solve_count,cg_mode,seed,checkpoint_path,evaluation_path
random_orthogonal,16,64,0.1369313212876558,8.535229483049571,0.673640479929757,16.0,16,1.0,0,4608,fixed,73,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r64_random/sweep_016,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r64_random/sweep_016/results.json
activation_aware,0,96,0.05855361800630451,7.279113706059092,0.6957036127532615,0.0,0,0.0,0,0,fixed,0,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r96_activation/sweep_000,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r96_activation/sweep_000/results.json
activation_aware,1,96,0.05707276497272408,7.273798453415919,,16.0,16,1.0,0,288,fixed,0,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r96_activation/sweep_001,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r96_activation/sweep_001/results.json
activation_aware,2,96,0.05631459991195071,7.27174573229667,0.695165510522375,16.0,16,1.0,0,576,fixed,0,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r96_activation/sweep_002,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r96_activation/sweep_002/results.json
activation_aware,4,96,0.055575675044049935,7.269391784243621,0.697450339624676,16.0,16,1.0,0,1152,fixed,0,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r96_activation/sweep_004,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r96_activation/sweep_004/results.json
activation_aware,6,96,0.05522527486074011,7.267885434641326,0.6961457260036671,16.0,16,1.0,0,1728,fixed,0,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s6/r96_activation,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s6/r96_activation/results.json
activation_aware,8,96,0.05502397367575532,7.267277710461004,0.6956993213805401,16.0,16,1.0,0,2304,fixed,0,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r96_activation/sweep_008,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r96_activation/sweep_008/results.json
activation_aware,12,96,0.05480506798424731,7.264587518961311,0.6947521068414753,16.0,16,1.0,0,3456,fixed,0,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r96_activation/sweep_012,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r96_activation/sweep_012/results.json
activation_aware,16,96,0.05469060056533523,7.2632112491291965,0.6947708471788144,16.0,16,1.0,0,4608,fixed,0,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r96_activation/sweep_016,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r96_activation/sweep_016/results.json
random_orthogonal,0,96,0.09382204338781994,7.44601321670172,0.6824802758822429,0.0,0,0.0,0,0,fixed,73,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r96_random/sweep_000,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r96_random/sweep_000/results.json
random_orthogonal,1,96,0.07683213636785903,7.3452885809374,,16.0,16,1.0,0,288,fixed,73,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r96_random/sweep_001,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r96_random/sweep_001/results.json
random_orthogonal,2,96,0.06857586340760304,7.302496053795257,0.6900911741740113,16.0,16,1.0,0,576,fixed,73,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r96_random/sweep_002,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r96_random/sweep_002/results.json
random_orthogonal,4,96,0.0613715992268559,7.259540339841037,0.6899997229971178,16.0,16,1.0,0,1152,fixed,73,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r96_random/sweep_004,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r96_random/sweep_004/results.json
random_orthogonal,6,96,0.058472831234939036,7.2449879563409265,0.6897028014264859,16.0,16,1.0,0,1728,fixed,73,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s6/r96_random,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s6/r96_random/results.json
random_orthogonal,8,96,0.05704598195626619,7.242181468293492,0.6922823422619275,16.0,16,1.0,0,2304,fixed,73,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r96_random/sweep_008,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r96_random/sweep_008/results.json
random_orthogonal,12,96,0.055763700878693215,7.244950019259745,0.6920818813924469,16.0,16,1.0,0,3456,fixed,73,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r96_random/sweep_012,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r96_random/sweep_012/results.json
random_orthogonal,16,96,0.05523108494390119,7.247047154749717,0.6923695894210942,16.0,16,1.0,0,4608,fixed,73,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/als_s16/r96_random/sweep_016,/deac/csc/yangGrp/zhangal/BasisServe-CALS/results/section3_ablation/qwen3_8b_base/formal/evaluation/als_s16/r96_random/sweep_016/results.json
