arm,batch,repeats,wall_s,throughput_tokens_s,ttft_ms,tpot_ms,preemptions_max,peak_allocated_gib,request_speedup
dense,1,3,1.1059539201669395,115.73719091359511,272.365003824234,6.560536985116915,,35.48984479904175,1.0
dense,2,3,1.431501992046833,178.8331426866954,553.5640120506287,6.905621009343487,,35.48984479904175,1.0
dense,4,3,2.0696395062841475,247.38607783886488,831.315417541191,9.670472716707296,,35.48984479904175,1.0
dense,8,3,3.2599400668404996,314.1162042872924,1663.642973639071,12.457598583758111,,35.48984479904175,1.0
dense,16,3,5.763423596974462,355.3443479453962,2776.866804808378,23.28103361284639,,35.48984479904175,1.0
dense,32,3,10.795624515973032,379.41297364868745,5007.670310791582,45.03940120266061,,35.48984479904175,1.0
dense,64,3,20.879866680130363,392.33966985984864,9489.74110931158,88.28363480325055,,35.48984479904175,1.0
dense,128,3,41.12835120363161,398.36267490716483,18553.16777457483,173.58308662037095,,35.48984479904175,1.0
dense,256,3,83.66785820014775,391.64382481996097,37835.355611052364,348.1447610318455,,35.48984479904175,1.0
r64,1,3,1.40558425989002,91.06533393452725,252.56822118535638,9.073025825631431,0,35.27340269088745,0.7868286176265769
r64,2,3,1.6788494908250868,152.48537846843337,497.18017247505486,9.298452583148958,0,35.27340269088745,0.852668449357725
r64,4,3,2.2690022229216993,225.649845041015,747.9911476839334,11.850379423905663,0,35.27340269088745,0.9121363943042591
r64,8,3,3.4835035339929163,293.956928709142,1498.5062072519213,15.478891005196909,0,35.27340269088745,0.9358222361565512
r64,16,3,5.960913462098688,343.57150343178284,2499.550685985014,26.930814509932684,0,35.27340269088745,0.9668691943978173
r64,32,3,10.914647906087339,375.2755045552657,4514.84996615909,49.58988047813571,0,35.27340269088745,0.9890950774465271
r64,64,3,20.875783598981798,392.41640732468403,8565.085004782304,94.72622217493146,0,35.27340269088745,1.0001955893597576
r64,128,3,40.5862904288806,403.6831113873218,16821.876101661474,180.22099882730936,0,35.27340269088745,1.013355760504914
r64,256,3,79.629071502015,411.5080005569425,33944.43766400218,335.8910557663611,0,35.27340269088745,1.0507200024055354
r96,1,3,1.4361115051433444,89.129569355566,275.5469982512295,9.12855964476668,0,35.31637907028198,0.7701030986842136
r96,2,3,1.740631707943976,147.07304183398205,539.9399849120528,9.447506713262928,0,35.31637907028198,0.8224037201630177
r96,4,3,2.3874676269479096,214.45316963502893,811.9315539952368,12.291662156669878,0,35.31637907028198,0.866876468993187
r96,8,3,3.6713085998781025,278.9196201142011,1626.5035476535559,15.946756762371757,0,35.31637907028198,0.8879504346076325
r96,16,3,6.270228858105838,326.6228468443298,2713.2718074135482,27.678273365224207,0,35.31637907028198,0.9191727650456963
r96,32,3,11.474997418932617,356.9499713561593,4893.534188391641,51.01251482640899,0,35.31637907028198,0.9407953764034241
r96,64,3,22.024216670077294,371.9542048970975,9296.635456616059,98.07420884237045,0,35.31637907028198,0.9480412853229111
r96,128,3,42.978213533293456,381.21640368574157,18280.98349366337,187.9219336354533,0,35.31637907028198,0.9569581381452993
r96,256,3,84.92176624527201,385.8610277294409,36915.038981242105,355.8960503304568,0,35.31637907028198,0.9852345505685467
