layer,dense_v_r4,dense_v_r8,dense_v_r16,dense_v_r24,dense_v_r32,dense_v_r48,dense_v_r64,dense_v_r80,dense_v_r128,c1_v80_r4,c1_v80_r8,c1_v80_r16,c1_v80_r24,c1_v80_r32,c1_v80_r48,c1_v80_r64,c1_v80_r80,shuffled_dense_v_r4,shuffled_dense_v_r8,shuffled_dense_v_r16,shuffled_dense_v_r24,shuffled_dense_v_r32,shuffled_dense_v_r48,shuffled_dense_v_r64,shuffled_dense_v_r80,shuffled_dense_v_r128,shuffled_c1_v80_r4,shuffled_c1_v80_r8,shuffled_c1_v80_r16,shuffled_c1_v80_r24,shuffled_c1_v80_r32,shuffled_c1_v80_r48,shuffled_c1_v80_r64,shuffled_c1_v80_r80,k_pca_r4,k_pca_r8,k_pca_r16,k_pca_r24,k_pca_r32,k_pca_r48,k_pca_r64,k_pca_r80,k_pca_r128
20,0.22485638986054712,0.32476379470765304,0.44117392780323345,0.5044380057013406,0.5410404399648712,0.5766680066474488,0.5921699801437569,0.5986071521814591,0.6007864786725305,0.2131080861016907,0.30713551731226324,0.41565886674420754,0.4729394164739868,0.5048487925033093,0.53337525712021,0.5432882553605931,0.5456813411624655,-5.166763362293714e-05,-7.240893017668171e-05,-9.530039366303922e-05,-0.00010727110225874914,-0.00011341314150148385,-0.00011927827816249348,-0.00012148341610102031,-0.00012244746176584553,-0.00012292103762751028,-3.377938331813879e-05,-4.796232086803909e-05,-6.358700930716998e-05,-7.113606132136407e-05,-7.486700202299912e-05,-7.8110309963908e-05,-7.912875976173739e-05,-7.936569902780577e-05,0.28035351425881183,0.43183709695343253,0.6327739191678238,0.7533741647207104,0.8290540133041522,0.9071328464559254,0.948264864945081,0.9744481621361749,1.0
21,0.22471877622196706,0.3256068464931861,0.444606865229918,0.5055245048149246,0.5380011742883528,0.5700827586521757,0.5851874553936136,0.5920877227445452,0.5951976886756445,0.2155022765567593,0.3113398765626606,0.4233908749916463,0.47871916836206985,0.5066671086547898,0.5320368932323594,0.541688767279793,0.5441633722540582,-5.262535142880331e-05,-7.299363284074545e-05,-9.76512855193068e-05,-0.00010884172475641996,-0.00011496910590910736,-0.00012080810556533428,-0.00012337206009627177,-0.00012447733725950982,-0.00012510412734961784,-3.3013242367735396e-05,-4.6974957214063195e-05,-6.283835786755065e-05,-6.994313385833006e-05,-7.3647529328702e-05,-7.705704808799729e-05,-7.825970440025753e-05,-7.858421689307948e-05,0.2955555859267186,0.4433355485432993,0.6334735014173689,0.7423738646650953,0.8090545035173101,0.8858253848279876,0.9318156514545444,0.9634206842897621,1.0
22,0.19903670565304304,0.2806380543927262,0.36934220892186254,0.41503881126372655,0.4396258788528243,0.46166220130918717,0.47076943219431716,0.47476834360921616,0.47630968215629355,0.18216180596348605,0.25579390264843077,0.3349142458912081,0.3735051147807964,0.3927992077317498,0.40863385923921725,0.4137205539411883,0.41494054049383516,-0.00011511309898487587,-0.00014412022481144482,-0.00017514376135138732,-0.0001884764292863772,-0.00019506143251754593,-0.00020177117639677555,-0.00020430286209063842,-0.00020546268086907293,-0.0002059898535402005,-8.037516903733333e-05,-9.953127628539726e-05,-0.00011963096380657179,-0.00012757878250818644,-0.00013209225653915135,-0.00013537913386432732,-0.00013654480354094445,-0.0001368378962407768,0.30086646227622627,0.4567379710024062,0.6482371646741325,0.7586240174949543,0.825984229392323,0.8997651314501434,0.9418573977093004,0.970036071545898,1.0
23,0.2130163888176062,0.2978772052700549,0.38912724028154677,0.4360048043737399,0.45822623317353456,0.47760065929431883,0.4850746350659002,0.4876452785416194,0.48854990108985735,0.19455299206818766,0.26927161694199575,0.3488638097786079,0.3864772355452194,0.40277096720571803,0.415091084417476,0.41841039241106737,0.41904133222473644,-7.262858726586607e-05,-9.799163127363619e-05,-0.00012476137339381688,-0.00013674893774945351,-0.0001430815647528172,-0.00014923077007295005,-0.00015183178509395323,-0.00015304280566136308,-0.00015366102127184478,-5.248377819042083e-05,-7.243531964476468e-05,-9.016491733598864e-05,-9.863143557128917e-05,-0.00010232122097705854,-0.00010597961169475645,-0.00010711381912226203,-0.00010740216267624003,0.30853535108754465,0.45551620631737183,0.6402122497894451,0.7493537189932542,0.8141480684141624,0.8878725592133367,0.9340055753090152,0.9659038975982162,0.9999999999999998
24,0.17485423640564013,0.24471182187023582,0.3182034418493278,0.3544358012892812,0.37383610964030867,0.3923602102094657,0.39974455842434586,0.40236716309128007,0.4031373610058563,0.15189092170048812,0.21231156733003345,0.27331913033223826,0.3016806795758358,0.31557724183134306,0.32746096387323465,0.331148692578082,0.33186201603721643,-0.00010582120628030434,-0.0001480153583701127,-0.00018229652674564556,-0.0001999443759405639,-0.0002089783596284367,-0.00021684519846595918,-0.00022005671953695405,-0.00022123147384209285,-0.00022170924990411178,-8.071424185601694e-05,-0.00010947635214125784,-0.00013369231874615917,-0.0001464208279676471,-0.00015119354983672562,-0.00015606936107606662,-0.00015725338424252278,-0.00015763721289688282,0.2890866980534553,0.4364112986301022,0.6303025396972681,0.7468818185754774,0.8183784311811738,0.898995588924944,0.9451861880612991,0.974312506921988,1.0
25,0.16811925060300426,0.24294391730992257,0.3247217015378643,0.3697395146377514,0.39560406898916634,0.4238541900291607,0.43756303529103924,0.4435177313694215,0.4459889586855632,0.15743761116613825,0.22665686059738605,0.3009652022377788,0.34081459818986565,0.3624233338526538,0.38432235598719555,0.39274584373423815,0.3947858240586878,-9.086588566753484e-05,-0.00012088209765573343,-0.00014943474474191087,-0.0001639478973366748,-0.0001729491498572988,-0.00018251706430372217,-0.00018717808110221834,-0.00018945353496194195,-0.00019052127597307678,-6.648613080881272e-05,-8.563845080392096e-05,-0.00010509320227286567,-0.00011448212917233858,-0.0001196523796925808,-0.00012502306593806245,-0.00012715612524596964,-0.00012777031870697675,0.2649374839883531,0.3984687688282651,0.5598171891913678,0.6624643883844897,0.7330826114798452,0.8280079345554088,0.8926747176299068,0.9401917615597022,0.9999999999999997
26,0.13494417158106004,0.18663813229328913,0.2438326210719442,0.273276522692994,0.2902610317215514,0.30792428512479675,0.3157060375930625,0.31898614399786834,0.3203224957891573,0.12264497723275213,0.16715038827773107,0.21486802758993595,0.23821460977667075,0.2508763150171438,0.2624986261031455,0.26647032026508277,0.26741041345833516,-8.835331492224041e-05,-0.00011602070707331102,-0.0001447596317790678,-0.00015983877279868164,-0.00016854508192765127,-0.0001771913014665949,-0.00018125091953705152,-0.00018322019739117068,-0.00018406313621185943,-6.224660911793856e-05,-8.148651132386386e-05,-9.960580769544092e-05,-0.00010941990494936493,-0.00011474670147412769,-0.0001194022322076882,-0.00012132958563015883,-0.0001217785222436818,0.2687853042295664,0.3998460996675714,0.5686414167152749,0.6768032573130881,0.750959198676417,0.8470291980780049,0.9091947642565557,0.9526808782352875,1.0
27,0.16304169097225385,0.22389829224365343,0.2884390063370199,0.3250605216902092,0.3455003001698367,0.36776826444026894,0.3783562731138798,0.38280227557714125,0.3843939015091606,0.14864184291911584,0.20316017939080933,0.26025343857547234,0.29105971456677576,0.3072466869614988,0.32295148292627107,0.3284814455665909,0.329797862455648,-0.00014367099715509313,-0.0001890918874322689,-0.00022759715208461873,-0.0002500210372359257,-0.00026221274306795217,-0.0002740726886996947,-0.0002786857014623889,-0.00028084188783131236,-0.00028170002745517286,-0.00010410825530821066,-0.00013486899574383093,-0.00016229310667251196,-0.00017701836927327963,-0.00018406389300545944,-0.00019100780207315093,-0.00019329319584701632,-0.00019396661738965704,0.27444234046754906,0.3981678884926648,0.5515802501413606,0.6545386501253714,0.7286917128263255,0.8291328046665022,0.8965045936755129,0.9451986512615982,1.0
28,0.17804508771974942,0.25551601850917693,0.3459181260597023,0.39866246697851565,0.4280165621587735,0.459517129247176,0.472846415669317,0.4777400741296531,0.47972933525194983,0.16644202775520106,0.23775022856510197,0.3189220122303351,0.3653034692940077,0.3902515848498308,0.41432961585460487,0.42197630025320143,0.423513557897895,-0.0001034795602449512,-0.0001364298395339636,-0.00016794331058667122,-0.0001836824705712392,-0.00019227774779895235,-0.00020293857856990005,-0.00020770356947433233,-0.00020971343996972758,-0.00021079411112220892,-7.195323276867893e-05,-9.516562766079262e-05,-0.00011747970983519429,-0.0001275028557507496,-0.00013261978416864717,-0.00013809208490009328,-0.0001401132637662561,-0.00014054869631813238,0.25961122067985726,0.38780591903830086,0.5523530535058108,0.6593858816242859,0.7294422366523272,0.8231234849708322,0.8873119537992775,0.9349588865825234,1.0
29,0.14201507137776487,0.18426439180866153,0.222435703871873,0.24081235096988815,0.25116161211649796,0.2612028779678727,0.2651123758561789,0.26651464007376713,0.26698815405694193,0.11872858550823921,0.14951725254090287,0.17631514731672815,0.18766377827001485,0.19360133617302538,0.19862050975821138,0.2001281738684766,0.20043139128614523,-0.00010038124449160413,-0.00012816500634771355,-0.0001572057587028719,-0.00017380202029002034,-0.0001820691110403505,-0.00018995184077993943,-0.00019339533703782719,-0.00019467720685756307,-0.00019527007841185773,-7.027059545322567e-05,-9.018254841433593e-05,-0.00010960483007507738,-0.00012030850688393713,-0.00012478483085864855,-0.00012973239014385518,-0.00013099680069866837,-0.00013124327554692172,0.29198463045446854,0.43497028308920754,0.6135329782671852,0.7304015619755264,0.8072634894486577,0.8885195852182564,0.9380468230358783,0.9719932564633031,1.0
30,0.13478677970378652,0.17887990374574222,0.22130001248516828,0.24429089802158144,0.25847727108152996,0.274674810065407,0.28298438729771686,0.28710263290643023,0.28924553777462,0.11992623141069611,0.15827546714254542,0.19373656402067102,0.2119959555071581,0.222810435735114,0.23409861170987983,0.2389764514349484,0.24057335029469498,-0.00021179803768581196,-0.0002720955317138396,-0.00033669106727740594,-0.00036848146512477586,-0.00038200614172961833,-0.00039680176226122854,-0.0004027279297830477,-0.0004052429024733739,-0.00040647561926401843,-0.00016581883533944852,-0.00021748412682906504,-0.0002610369257261269,-0.00028294573434242687,-0.00029285293757574937,-0.00030127579630864765,-0.0003038945766788703,-0.00030433740786203756,0.2672035816477336,0.3923338518911329,0.5481208179836347,0.6523883738855756,0.7266120978519325,0.8203866433902112,0.8848479675226013,0.933998797797662,0.9999999999999999
31,0.15472022220087966,0.20267364870071192,0.2534303076518212,0.2810622394685147,0.2969312106266217,0.3141287386991994,0.3212980746416972,0.32402601579027923,0.3251464156828048,0.13186675837892892,0.1690871075796209,0.20685874541067628,0.2265935033300493,0.23862726128954698,0.249823985412482,0.2533155386515616,0.2540706523874491,-0.00012107159841312498,-0.00015712007071758127,-0.00019549090766898813,-0.00021199967008156406,-0.00022149901001403127,-0.00023144992067614112,-0.0002355860349649297,-0.00023748212500904198,-0.00023840586483289683,-8.67172447989728e-05,-0.00011433458650833561,-0.00013963844884903875,-0.0001507164870869493,-0.00015630783233189227,-0.00016200078738967671,-0.00016392649883109622,-0.0001644550109345111,0.293868707824324,0.42895721754848726,0.5909675926391369,0.6970802109434897,0.7684017106375169,0.8539229771356893,0.910746196833103,0.9522390216585835,1.0
32,0.16781823390984146,0.21399151803357097,0.2559322476723411,0.2783013230631599,0.29160820500115675,0.30617520839891416,0.3123913319662398,0.31490426872339367,0.31605535975291676,0.14747596639902077,0.1856666455299441,0.21999950941020763,0.2371199065135684,0.24673737701920834,0.25589925699617955,0.25888856339882277,0.25964928207248805,-0.00015604504437996547,-0.00020527386901494915,-0.000257252132912833,-0.0002771043291850406,-0.00029047116967900743,-0.00030315748738635184,-0.0003091547157287877,-0.0003114301218304083,-0.0003127441028273614,-0.0001231795578160999,-0.00016094277279590785,-0.00019764977505012937,-0.00021115119057990572,-0.00021939653593303077,-0.00022674277186796044,-0.00022893980288235527,-0.0002295944913464354,0.2880213124177252,0.41495475828200845,0.5609795909446371,0.6597262684638003,0.7317581451530959,0.8227499362361835,0.8859758782655384,0.933138592448467,1.0
33,0.1179712187026733,0.15828362264308077,0.1936204387493696,0.21388209507191086,0.2270267428273192,0.24203921138563944,0.2484558906463095,0.25025757306800006,0.25074778147281773,0.0985561633696504,0.12874923688139672,0.1556739798740897,0.17029156985997757,0.1793202372970975,0.18824972115090444,0.19088272296492415,0.19131312204769918,-8.376042734301037e-05,-0.0001088654368462394,-0.00013334507707246646,-0.00014734792039153288,-0.00015506329384179507,-0.00016183946975731334,-0.000164928568927164,-0.00016609602835512827,-0.00016650723569713866,-5.891217253911618e-05,-7.540275083170456e-05,-9.197044768552431e-05,-0.00010042390821901614,-0.00010468466142524169,-0.0001085893545886285,-0.00010964011888442426,-0.00010996076363001261,0.29830687967502095,0.44724350483561204,0.6283701630024534,0.7441321196958142,0.8221748855269189,0.9014201387985561,0.94731642090602,0.9760425081655626,1.0
34,0.15939050217549086,0.1988816597213934,0.23096731305042323,0.24606065097380458,0.2553008746433353,0.26505954008191,0.2689862605325327,0.27049360196447064,0.27114565897454207,0.14326571775452612,0.17496711274318805,0.1998483091367975,0.2110291751142587,0.21752239227034753,0.22339435746841899,0.22528528626168126,0.22571429592551678,-0.00015480512158080884,-0.00020965546284096304,-0.0002607093544645389,-0.0002841291985355432,-0.0002965743655124753,-0.00030854993243989437,-0.00031372845086019563,-0.0003156004279243618,-0.00031677539362082174,-0.00011007508484958684,-0.00014816630479047577,-0.00018397045752971408,-0.00019821234505390528,-0.00020654021670213352,-0.00021343254409056378,-0.0002155812852282779,-0.00021606534473836425,0.29987993923434386,0.436227823750161,0.5994403645580237,0.7050210725984727,0.774984517253835,0.8563183693019845,0.9096226323356063,0.9485515595327498,1.0
35,0.17168975707390685,0.21343441401867919,0.24563917782421163,0.26040830985616925,0.2691622500511679,0.27849548660163514,0.28262673507908187,0.2844253403179235,0.28533316695700955,0.15199661753197824,0.18762659475572085,0.2138578752439177,0.2257341577710507,0.23236482599785435,0.23889232129040588,0.24127388854436232,0.2418967673346077,-0.00021965969705789457,-0.00027967506760037675,-0.000337329179662893,-0.0003645185418437724,-0.0003779045564682171,-0.0003920572291281621,-0.00039751711377947196,-0.0003998326329000268,-0.00040098571097402225,-0.00016356038414971907,-0.0002050865334686236,-0.0002475068563310423,-0.00026370537864059407,-0.0002713676428824918,-0.000279946543501719,-0.0002828135751177241,-0.0002833320487614366,0.38602082985353675,0.5266274384899444,0.6604837590430609,0.7365376495787267,0.7875892666434109,0.8565118238845884,0.9047064950687962,0.9418401866381343,1.0000000000000002
