model,method,base_rank,residual_rank,route_scan_width,additional_routing_state,budget,page_size,attention_mass_recall,nonsink_mass_recall,page_recall,routed_page_recall,page_kl,attention_rel_mse,post_wo_rel_mse,ruler_average,seed
meta-llama/Llama-3.1-8B-Instruct,r16_only,0,16,16,16,2048,32,0.9406070326749614,0.845861930418323,0.7027472257614136,0.6875200147448096,0.4369181089451052,0.006455897989297774,0.004767182354438514,,20260828
meta-llama/Llama-3.1-8B-Instruct,r20_only,0,20,20,20,2048,32,0.9428641070389858,0.851658005030913,0.7396355867385864,0.7263005942355859,0.32259770530485216,0.0055917094454679805,0.004131915132592525,,20260828
meta-llama/Llama-3.1-8B-Instruct,b4r16,4,16,20,16,2048,32,0.9458893293176516,0.8594153492304031,0.8318384885787964,0.8232860645812545,0.146185153385197,0.004726931327233675,0.0035276897243240717,,20260828
meta-llama/Llama-3.1-8B-Instruct,b16_only,16,0,16,0,2048,32,0.9304270099328278,0.8110434575219188,0.7250754833221436,0.7111609303236976,0.7422230205327902,0.009714886244771511,0.008253774322488378,,20260828
meta-llama/Llama-3.1-8B-Instruct,b16r16,16,16,32,16,2048,32,0.9463921830101754,0.8607105698083615,0.846570611000061,0.8387789160194863,0.12088606241355702,0.004567527292251155,0.0034362626787738247,,20260828
meta-llama/Llama-3.1-8B-Instruct,r32_only,0,32,32,32,2048,32,0.9459622018093796,0.8598786753664172,0.8109714984893799,0.8012901927790916,0.15649235892503327,0.004651739763773846,0.0034519822576035753,,20260828
meta-llama/Llama-3.1-8B-Instruct,exact_k,128,0,128,128,2048,32,0.9485711247962172,0.8669179295993672,1.0,1.0,0.0,0.003963418086289861,0.0029597387743789325,,20260828
