method,base_rank,predictable_energy,post_rope_rel_mse,key_tokens,routed_page_recall,routed_page_recall_samples,page_kl,page_kl_samples,attention_mass_recall,attention_mass_recall_samples,nonsink_mass_recall,nonsink_mass_recall_samples
pre_rope_base,16,0.7208708676739388,0.19006921023189027,268435456,0.7109901282240121,16352,0.7411992051952199,16352,0.9304270099328278,16384,0.8110434575219188,16384
post_rope_base,16,0.7506961478681633,0.5632365203595129,268435456,0.2435758817455298,16352,1.9791723932340055,16352,0.8696356582604494,16384,0.6647463231038273,16384
