layer,base_rank,centered_explained_fraction,predictable_energy_captured_fraction,attention_mass_recall,nonsink_mass_recall,page_recall,routed_page_recall,page_kl,attention_rel_mse,post_wo_rel_mse
0,4,0.5883012900416448,0.8061342664313814,0.6385805458994582,0.6384374071494676,0.9013404846191406,0.8964883734006435,0.03445673936948879,0.024392104645965265,0.00660531875235508
1,4,0.3580732282587711,0.4706465949307634,0.8079346581362188,0.6993874350446276,0.8573684692382812,0.845526504780977,2.2354655930351828,0.2926432057855885,0.22390814435538775
2,4,0.16709538761977052,0.3522927558232315,0.9629541616886854,0.7935559656471014,0.7897377014160156,0.7793969303602353,0.3899793528835289,0.05930861252494099,0.027643413164989788
3,4,0.21790132532704704,0.4350351646543832,0.9576548673212528,0.8334473256254569,0.8314437866210938,0.8231541332788765,0.13193319619313115,0.013139213339552307,0.015159485835309216
4,4,0.23322431874488195,0.4218567156014504,0.9568659336073324,0.852771406294778,0.8133811950683594,0.8042032179655507,0.16386735210835468,0.020349720112915342,0.011935366934109463
5,4,0.20699255884859705,0.3882052652815344,0.9569909176789224,0.86115492740646,0.7839813232421875,0.7733574492158368,0.3029419962549582,0.01804382275489638,0.017782860800502717
6,4,0.24306988255146153,0.4548643062635164,0.9413586712908,0.8653819703031331,0.7912178039550781,0.7809498214628547,0.2089470000937581,0.010685760300667086,0.010059191344515757
7,4,0.2622523005997037,0.3812913436132427,0.93258154054638,0.8834822393255308,0.7803573608398438,0.7695552596123889,0.4177247169573093,0.019172773500199945,0.021528244646279934
8,4,0.22026617235365695,0.3373992112820738,0.9372974536381662,0.8812575064366683,0.7080421447753906,0.6838023823595816,0.4501459381332801,0.017446504116681142,0.018734420315204732
9,4,0.2437566377434324,0.391485130016007,0.9211222842568532,0.8585497588501312,0.6672210693359375,0.6508548871497624,0.53022120919195,0.014459189442035598,0.02096646392441891
10,4,0.2207667166932385,0.34061590122545776,0.9156152801588178,0.8187096070614643,0.6187553405761719,0.6000055975746363,0.6747978048224468,0.02882218957309188,0.030045737914446622
11,4,0.24872164477716932,0.34111484877498105,0.9089745809324086,0.8433530543115921,0.6690177917480469,0.6527399745536968,0.5942014689644566,0.014770349206713688,0.021844119045047575
12,4,0.25325900935333706,0.42059066944648754,0.9562258550431579,0.9251352199353278,0.8042678833007812,0.7946417084895074,0.7262869382684585,0.003549119930613044,0.003667477616223869
13,4,0.19529340158996894,0.30944189895790436,0.9189230625052005,0.8519640627200715,0.5373191833496094,0.5145643840369303,1.0509023515041918,0.010058785963462371,0.013874847600900533
14,4,0.19376510402516076,0.29607417974298084,0.9427145683439448,0.8896603266475722,0.605316162109375,0.585905474901665,0.8768655099265743,0.006486131285128624,0.007155994610126563
15,4,0.15934552897378773,0.38042304168039914,0.9430561880581081,0.8525535988155752,0.6535682678222656,0.6365306372172199,0.7680888575268909,0.008690691153072248,0.012718468834854352
16,4,0.1741415340900119,0.3290394522163096,0.9469900742406026,0.8498495643143542,0.6612052917480469,0.6445432527689263,1.202620572206797,0.005765244448861207,0.00759782333817396
17,4,0.1464117159414346,0.34158708626574913,0.929390937439166,0.8192458645789884,0.6512413024902344,0.634089229919482,1.098738333239453,0.009861801499289252,0.01164036005380745
18,4,0.1565928655275009,0.3478259119130815,0.9542199978604913,0.79639450868126,0.6504936218261719,0.63330477749696,1.0560112348175608,0.0077562205392922,0.009497135642830648
19,4,0.16292336924590567,0.3265613144510347,0.9432317563332617,0.770235383475665,0.6573867797851562,0.6405369447311386,0.7626115891034715,0.013775704381156268,0.015040885993492566
20,4,0.15092099843882478,0.34870813246178145,0.9393721838714555,0.7507452734862454,0.6263427734375,0.6079661807743832,0.9000562776927836,0.017181126235617333,0.02965103426830419
