task,page_fisher,score_mse,score_only,qgram_score_only
niah_multiquery,90.0,90.5,90.0,89.5
vt,71.60000000000004,70.00000000000003,70.80000000000001,70.80000000000001
cwe,0.8,0.6000000000000001,0.6000000000000001,0.6000000000000001
fwe,72.66666666666667,70.66666666666669,72.00000000000001,72.66666666666667
qa_1,68.0,68.0,68.0,70.0
qa_2,54.0,54.0,54.0,54.0
six_task_mean,59.51111111111114,58.96111111111113,59.233333333333356,59.59444444444446
