objective,base_rank,residual_rank,attention_mass_recall,nonsink_mass_recall,page_recall,routed_page_recall,page_kl,attention_rel_mse,post_wo_rel_mse,ruler_average,fit_wall_time_seconds,seed
residual_mse,16,16,0.9380636347668769,0.8379627543081369,0.7964327335357666,0.786111626614471,0.427594458153266,0.006222604132613301,0.005204958974947187,,192.55926440656185,20260828
score_mse,16,16,0.9464634547966853,0.8609136381164717,0.8545627593994141,0.8471812957879241,0.12648270559111827,0.00460558035679491,0.0034705470162250222,,3170.223642721772,20260828
page_fisher,16,16,0.9463921830101754,0.8607105698083615,0.846570611000061,0.8387789160194863,0.12088606241355702,0.004567527292251155,0.0034362626787738247,,,20260828
