method,routed_page_recall,page_kl_exact_to_proxy,post_wo_rel_mse,hard_ruler,longbench
dense_full,,,,,37.575764180952554
exact_k,1.0,0.0,0.0029597387743789325,,37.86916916870363
page_fisher,0.8387789160194863,0.12088606241355702,0.0034362626787738247,59.51111111111114,37.86734288955944
score_mse,0.8471812957879241,0.12648270559111827,0.0034705470162250222,58.96111111111113,38.394892442239254
score_only,0.8418759168725369,0.13684445738638623,0.003484972843486605,59.233333333333356,38.05239121739165
qgram_score_only,0.8471670494231324,0.1264643069426276,0.0034659489181875303,59.59444444444446,38.4140730868231
