method,layer,post_rope_rel_mse,key_tokens,routed_page_recall,routed_page_recall_samples,page_kl,page_kl_samples,attention_mass_recall,attention_mass_recall_samples,nonsink_mass_recall,nonsink_mass_recall_samples
pre_rope_base,0,0.06720796001247195,8388608,0.91340611432679,512,0.027186688933397818,512,0.6394794795196503,512,0.639336884545628,512
pre_rope_base,1,0.048685788836667826,8388608,0.8597592221152398,496,2.2231165447381267,496,0.807895727630239,512,0.6995982814405579,512
pre_rope_base,2,0.18152544196089274,8388608,0.7954701896524057,512,0.3612888025963912,512,0.9629849432967603,512,0.795390899758786,512
pre_rope_base,3,0.11525239070449052,8388608,0.8372222345788032,512,0.11067197845841292,512,0.9580667035188526,512,0.834868625504896,512
pre_rope_base,4,0.10981494906565806,8388608,0.8246870147995651,512,0.1291905933248927,512,0.9577290661400184,512,0.854995284229517,512
pre_rope_base,5,0.15520655526060534,8388608,0.7926525650545955,512,0.2650383358995896,512,0.9581741013098508,512,0.8644434905145317,512
pre_rope_base,6,0.12968635842525333,8388608,0.8056440455839038,512,0.163990315340925,512,0.9430656927870587,512,0.8687696983106434,512
pre_rope_base,7,0.11950129112668464,8388608,0.7977474995423108,512,0.35139583929412765,512,0.9350356144132093,512,0.8876329611521214,512
pre_rope_base,8,0.16585566252296838,8388608,0.737122384410712,496,0.3076687713243788,496,0.9430538220331073,512,0.8921979288570583,512
pre_rope_base,9,0.17667112233314097,8388608,0.7061907607130706,512,0.3761457289510872,512,0.9267214713618159,512,0.8676802990958095,512
pre_rope_base,10,0.19848652791194119,8388608,0.6705502318800427,512,0.4754635645658709,512,0.9246745411073789,512,0.8372477273223922,512
pre_rope_base,11,0.1762852967401486,8388608,0.7080958589212969,512,0.45882019818236586,512,0.9148640447529033,512,0.852979575865902,512
pre_rope_base,12,0.1282461030081196,8388608,0.8120437324978411,512,0.6931831869442249,512,0.9569903090596199,512,0.926325638894923,512
pre_rope_base,13,0.2658173920555071,8388608,0.6067494824528694,512,0.752969258261146,512,0.9324175929650664,512,0.871968416380696,512
pre_rope_base,14,0.23990644580034512,8388608,0.6667000165907666,512,0.5940623806382064,512,0.9522644598037004,512,0.9063214655034244,512
pre_rope_base,15,0.23915024757220482,8388608,0.6706582946353592,512,0.6656933405902237,512,0.9461047122022137,512,0.8598795930156484,512
pre_rope_base,16,0.20194243326993097,8388608,0.696497177996207,512,1.0326377497403882,512,0.9524515811353922,512,0.8620427202549763,512
pre_rope_base,17,0.24316423056456724,8388608,0.6679807535838336,512,1.0099323202157393,512,0.9331673362758011,512,0.8271447793813422,512
pre_rope_base,18,0.22738617982116013,8388608,0.6681448449380696,512,0.9712706820573658,512,0.9568035765551031,512,0.8037191831390373,512
pre_rope_base,19,0.1935157231140277,8388608,0.6785188201465644,512,0.6892756478337105,512,0.9463984151370823,512,0.7786874935263768,512
pre_rope_base,20,0.23210206409362175,8388608,0.6425300911068916,512,0.8241878028493375,512,0.9428562069078907,512,0.759751932520885,512
pre_rope_base,21,0.2243541396370862,8388608,0.656566176621709,512,0.8802600284398068,512,0.9459606250748038,512,0.7991759944707155,512
pre_rope_base,22,0.2491536921897009,8388608,0.6305631994619034,512,0.9543517624842934,512,0.9524796800687909,512,0.774089885642752,512
pre_rope_base,23,0.23964875004969594,8388608,0.6374671750236303,512,0.9640562351851258,512,0.9580278375651687,512,0.7707554257940501,512
pre_rope_base,24,0.2140445856870599,8388608,0.6362624818575568,512,1.055203112453455,512,0.9548015345353633,512,0.7374785154825076,512
pre_rope_base,25,0.18598455401557937,8388608,0.656866351433564,512,1.400592916936148,512,0.9569025589153171,512,0.731298467842862,512
pre_rope_base,26,0.2295770924207934,8388608,0.5983486436889507,512,1.2299268862698227,512,0.9381546375807375,512,0.7508728466345929,512
pre_rope_base,27,0.226950978668201,8388608,0.6284219659864902,512,1.1809408071567304,512,0.9341660931240767,512,0.7193660646444187,512
pre_rope_base,28,0.22203917745924415,8388608,0.6997790667228401,512,1.0378062423405936,512,0.9398357030004263,512,0.7902267369790934,512
pre_rope_base,29,0.16928802389859612,8388608,0.675196907541249,512,1.363555935851764,512,0.9472873951308429,512,0.745948668802157,512
pre_rope_base,30,0.2714464091488455,8388608,0.6142177818692289,512,0.8556415437196847,512,0.9110413353191689,512,0.7864587445510551,512
pre_rope_base,31,0.13847226867008353,8388608,0.765088684624061,512,0.3456114554719534,512,0.9438075196230784,512,0.8567364106420428,512
post_rope_base,0,0.6196572537292536,8388608,0.3417448431937373,512,0.9163730986183509,512,0.4896868005453143,512,0.48951802373630926,512
post_rope_base,1,0.5768575686337863,8388608,0.28902944591790136,496,2.519915406381892,496,0.7826994893548544,512,0.6231092501839157,512
post_rope_base,2,0.5334036688492851,8388608,0.23644018637787667,512,1.8074461438227445,512,0.9275279523571953,512,0.6022440167726018,512
post_rope_base,3,0.5791045595708266,8388608,0.19746173486419138,512,1.5944200521335006,512,0.910146098351106,512,0.6509458690416068,512
post_rope_base,4,0.5723990135042627,8388608,0.23936186978971818,512,1.736264420353109,512,0.9114103631582111,512,0.7055378446239047,512
post_rope_base,5,0.5947255550478272,8388608,0.24151110710590729,512,2.089659491321072,512,0.8925551032880321,512,0.6991127902874723,512
post_rope_base,6,0.5996507411544206,8388608,0.21630058584923972,512,1.8575871480279602,512,0.871187774464488,512,0.7217612114618532,512
post_rope_base,7,0.5633646764261454,8388608,0.2509725573909236,512,2.068435735825915,512,0.8624081563903019,512,0.7576659405021928,512
post_rope_base,8,0.5841234600818817,8388608,0.3018161656049591,496,1.917431773497693,496,0.8745156306540594,512,0.7761913036229089,512
post_rope_base,9,0.573116082008218,8388608,0.29482581621050485,512,1.7766773451585323,512,0.8485065681161359,512,0.7433822959428653,512
post_rope_base,10,0.5274678813282198,8388608,0.3021380275458796,512,1.7379151659552008,512,0.8703611665405333,512,0.7364133028313518,512
post_rope_base,11,0.5250139610862293,8388608,0.2638199560060457,512,1.8656892380095087,512,0.837201789021492,512,0.7361554082017392,512
post_rope_base,12,0.5590003952683967,8388608,0.25200515263713896,512,2.421201496850699,512,0.8816433403408155,512,0.8114117517834529,512
post_rope_base,13,0.5109144666430256,8388608,0.33924340090015903,512,1.724321807269007,512,0.8743480842094868,512,0.7818812885670923,512
post_rope_base,14,0.5071398770463054,8388608,0.3421250609389972,512,1.8408308380749077,512,0.8921567797660828,512,0.8079981122282334,512
post_rope_base,15,0.5860263259453206,8388608,0.2588731071955408,512,2.1123467393335886,512,0.8776283462066203,512,0.7367607743944973,512
post_rope_base,16,0.5305051871062996,8388608,0.2747542552242521,512,2.4518300901982,512,0.9028115491382778,512,0.7568742387811653,512
post_rope_base,17,0.5699018963074111,8388608,0.24859118480526377,512,2.076970004825853,512,0.8717232629423961,512,0.6966162503231317,512
post_rope_base,18,0.5490063556233788,8388608,0.23541159437445458,512,2.0670931358472444,512,0.9141901972470805,512,0.6581813251250423,512
post_rope_base,19,0.5536488437912227,8388608,0.23826924026070628,512,1.699032410455402,512,0.9059996713185683,512,0.6293390870559961,512
post_rope_base,20,0.5577372655765227,8388608,0.22885981987928972,512,1.744666626327671,512,0.8976170219248161,512,0.6152438404096756,512
post_rope_base,21,0.5877500547545922,8388608,0.19845430639543338,512,2.04784385219682,512,0.8928364595631137,512,0.6444284643803257,512
post_rope_base,22,0.5823402876207723,8388608,0.2008797042981314,512,1.9913244256167673,512,0.9055641925660893,512,0.6107318073918577,512
post_rope_base,23,0.5905987103396431,8388608,0.188440538919167,512,2.0431960155256093,512,0.9166989179793745,512,0.5982951721816789,512
post_rope_base,24,0.576362035599481,8388608,0.20855612575178384,512,2.0562227385817096,512,0.9135885880095884,512,0.5700585028971545,512
post_rope_base,25,0.5617047362343361,8388608,0.20688716383483552,512,2.224800085183233,512,0.9226749709341675,512,0.5769106884254143,512
post_rope_base,26,0.5799967171080124,8388608,0.1917224285452903,512,2.232815527007915,512,0.877960012294352,512,0.5726813501969445,512
post_rope_base,27,0.5684798333571311,8388608,0.1906578152829752,512,2.0972946566180326,512,0.8748911478323862,512,0.5356386486964766,512
post_rope_base,28,0.5618898312469846,8388608,0.20161612802257878,512,2.208909827459138,512,0.868358182022348,512,0.6020016075926833,512
post_rope_base,29,0.52537809208397,8388608,0.22334864683762135,512,2.3263491152320057,512,0.8941256428370252,512,0.5590207792702131,512
post_rope_base,30,0.6194026842636721,8388608,0.1898853705606598,512,2.1806198570411652,512,0.7970845685922541,512,0.5723098355520051,512
post_rope_base,31,0.5534123235743792,8388608,0.20366530808678363,512,1.9130011395318434,512,0.8682332363678142,512,0.6934615568607114,512
