method,position_start,position_end,num_samples,post_rope_rel_mse,key_tokens,routed_page_recall,routed_page_recall_samples,page_kl,page_kl_samples,attention_mass_recall,attention_mass_recall_samples,nonsink_mass_recall,nonsink_mass_recall_samples
pre_rope_base,0,8192,2672,0.20137636119019015,33554432,0.8621864849980363,2672,0.2731856370909756,2672,0.9810465639512215,2704,0.9407954322912636,2704
pre_rope_base,8192,32768,5488,0.19062829240477375,100663296,0.6960331435877363,5488,0.5066016995464792,5488,0.935182531866579,5488,0.8220144572909432,5488
pre_rope_base,32768,65536,8192,0.1870331665784447,134217728,0.6716941402337397,8192,1.0510140690837488,8192,0.910532774283638,8192,0.7608654562391166,8192
post_rope_base,0,8192,2672,0.6294594779224574,33554432,0.6904894060393918,2672,0.8153717790390114,2672,0.9612720465871709,2704,0.8832995566655193,2704
post_rope_base,8192,32768,5488,0.541728168193074,100663296,0.22201830479139922,5488,1.7057670934815448,5488,0.8776760437626272,5488,0.6762170882205921,5488
post_rope_base,32768,65536,8192,0.563914723285619,134217728,0.11224715193731072,8192,2.541931612737244,8192,0.8340020608884515,8192,0.5849221650823893,8192
