base_rank,residual_rank,centered_explained_fraction,predictable_energy_captured_fraction,attention_mass_recall,nonsink_mass_recall,page_recall,routed_page_recall,page_kl,attention_rel_mse,post_wo_rel_mse
4,0,0.195200557079028,0.41607273290893987,0.9275594633218134,0.8050976292161067,0.6957831382751465,0.680362008644601,0.8194836233051612,0.011522607408128386,0.009291468671346467
8,0,0.2683982308641691,0.5705600618936979,0.9289862796867965,0.8080894454906229,0.7106053829193115,0.6959467878929694,0.7810457830424931,0.010600365532934298,0.008774938749523491
16,0,0.34908221559309305,0.7390919039753254,0.9304270099328278,0.8110434575219188,0.7250754833221436,0.7111609303236976,0.7422230205327902,0.009714886244771511,0.008253774322488378
24,0,0.39509738953371704,0.8342776593241571,0.930944233563423,0.8121065395716869,0.7315462827682495,0.7179647971269362,0.7262108632466301,0.009250237751420991,0.00793765289830902
32,0,0.4233322057229766,0.8925293729622541,0.9312199239484471,0.8127357072035011,0.735683798789978,0.7223191923820841,0.7162035265347422,0.009110553103648939,0.007851539211817735
48,0,0.45397922457357204,0.9557012405875441,0.9314183733695245,0.8131928859211257,0.7393370866775513,0.7261613852599933,0.7074334885527076,0.009037234161575244,0.007807857727361357
64,0,0.46791814157641537,0.9841133237172655,0.931504284226321,0.8133672915300849,0.7410569190979004,0.7279686479994838,0.7033648464481952,0.009030704327435768,0.007811987760699299
80,0,0.4735699718049983,0.995545705620174,0.9315357061677787,0.8134437932658329,0.7418657541275024,0.7288184965882758,0.7015970841060055,0.009042448342157457,0.007822418956453164
96,0,0.47533496526302754,0.999173914383879,0.931551404790298,0.8134737480077092,0.7422060966491699,0.7291766099394497,0.7010209870367583,0.008993608378404802,0.007762433048729966
